Height,Weight,BMI,Diet Plan,Whole Grain Toast,Avocado,Poached Egg/Smoked Salmon,Greek Yogurt,Honey(tbsp),Smoothie(with Milk),Smoothie(Low Fat),Fruit(100g),Nut Butter,Egg,Nuts/Granola,Oatmeal,Almond Milk/Low Fat Milk,Veggie Omlette(Egg White)/Egg Substitute,Fruit Salad
179,88,27.46,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,1,1
174,72,23.78,Maintain Weight,1,1,1,1,2,0,2,1,1,0,0,0,0,0,0
163,53,19.95,Gain Weight,2,2,0,2,1,3,0,1,1,1,0,0,0,0,0
168,64,22.68,Maintain Weight,1,2,2,1,1,0,2,1,1,0,0,0,0,0,0
172,74,25.01,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,1,1,2,1
183,93,27.77,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,2,1,1,2
167,61,21.87,Maintain Weight,1,1,2,2,1,0,1,1,2,0,0,0,0,0,0
169,69,24.16,Maintain Weight,1,1,1,2,2,0,1,2,1,0,0,0,0,0,0
175,80,26.12,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,1,1,1
178,85,26.83,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,1,1,2,2
171,66,22.57,Maintain Weight,1,2,1,1,1,0,1,2,1,0,0,0,0,0,0
164,58,21.56,Maintain Weight,1,1,1,1,1,0,1,2,1,0,0,0,0,0,0
158,51,20.43,Gain Weight,1,2,0,2,2,3,0,1,2,2,0,0,0,0,0
181,90,27.47,Lose Weight,0,0,0,1,1,0,0,1,0,0,1,2,1,2,2
162,57,21.72,Maintain Weight,2,1,1,1,1,0,2,1,2,0,0,0,0,0,0
173,75,25.06,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,1,2,2,1
159,52,20.57,Gain Weight,2,2,0,2,1,1,0,1,2,1,0,0,0,0,0
176,78,25.18,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,1,2,2
168,63,22.32,Maintain Weight,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
160,50,19.53,Gain Weight,1,1,0,2,1,2,0,3,1,1,0,0,0,0,0
172,70,23.66,Maintain Weight,1,2,1,2,2,0,1,1,1,0,0,0,0,0,0
179,84,26.22,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,2,2,1,2
166,60,21.77,Maintain Weight,1,1,1,1,1,0,2,2,2,0,0,0,0,0,0
157,44,17.85,Gain Weight,3,1,0,1,1,1,0,2,1,3,0,0,0,0,0
171,67,22.91,Maintain Weight,2,1,1,1,2,0,1,1,1,0,0,0,0,0,0
156,49,20.13,Gain Weight,1,1,0,2,2,1,0,1,1,2,0,0,0,0,0
182,92,27.77,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,2,1,1
159,56,22.15,Maintain Weight,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0
176,77,24.86,Maintain Weight,2,3,2,2,1,0,1,1,1,0,0,0,0,0,0
167,62,22.23,Maintain Weight,1,1,2,2,2,0,1,2,1,0,0,0,0,0,0
170,71,24.57,Maintain Weight,2,2,2,1,1,0,1,1,1,0,0,0,0,0,0
154,46,19.4,Gain Weight,1,3,0,1,1,2,0,1,1,1,0,0,0,0,0
178,83,26.2,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,2,1,1
185,100,29.22,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,2,2
162,58,22.1,Maintain Weight,2,1,2,2,2,0,1,2,1,0,0,0,0,0,0
171,70,23.94,Maintain Weight,1,2,2,1,2,0,1,1,2,0,0,0,0,0,0
163,54,20.32,Gain Weight,1,2,0,2,1,2,0,1,2,3,0,0,0,0,0
177,84,26.81,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,2,1
160,51,19.92,Gain Weight,2,1,0,2,1,1,0,1,2,2,0,0,0,0,0
180,87,26.85,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,1,1
168,67,23.74,Maintain Weight,1,2,2,1,1,0,1,1,2,0,0,0,0,0,0
173,72,24.06,Maintain Weight,2,2,1,1,1,0,1,2,1,0,0,0,0,0,0
176,78,25.18,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,1,2
164,59,21.94,Maintain Weight,1,1,1,1,1,0,1,2,2,0,0,0,0,0,0
155,49,20.4,Gain Weight,3,1,0,2,2,1,0,3,1,1,0,0,0,0,0
182,93,28.08,Lose Weight,0,0,0,1,1,0,0,1,0,0,2,2,1,1,1
166,61,22.14,Maintain Weight,1,1,1,2,1,0,1,2,1,0,0,0,0,0,0
157,47,19.07,Gain Weight,1,1,0,2,3,2,0,2,3,1,0,0,0,0,0
169,69,24.16,Maintain Weight,1,1,2,1,1,0,2,1,2,0,0,0,0,0,0
175,79,25.8,Lose Weight,0,0,0,2,2,0,0,2,0,0,2,2,2,1,1
170,69,23.88,Maintain Weight,1,1,2,2,1,0,1,1,1,0,0,0,0,0,0
178,84,26.51,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,1,2
165,62,22.77,Maintain Weight,2,2,2,1,1,0,2,2,1,0,0,0,0,0,0
179,88,27.46,Lose Weight,0,0,0,1,1,0,0,1,0,0,2,1,2,1,2
162,56,21.34,Maintain Weight,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0
170,72,24.91,Maintain Weight,1,1,1,1,2,0,2,2,1,0,0,0,0,0,0
158,50,20.03,Gain Weight,1,1,0,1,1,2,0,1,1,1,0,0,0,0,0
168,70,24.8,Maintain Weight,2,1,1,1,1,0,2,1,2,0,0,0,0,0,0
174,79,26.09,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,2,1
160,55,21.48,Maintain Weight,1,1,1,1,2,0,2,1,1,0,0,0,0,0,0
179,88,27.46,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,2,1,1,2
166,63,22.86,Maintain Weight,2,1,2,2,1,0,2,1,1,0,0,0,0,0,0
183,95,28.37,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,2,2,2,1
170,72,24.91,Maintain Weight,1,1,2,2,2,0,1,2,1,0,0,0,0,0,0
157,50,20.28,Gain Weight,1,1,0,1,1,1,0,2,1,2,0,0,0,0,0
178,82,25.88,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,1,2,2
172,77,26.03,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,1,1,2,1
166,62,22.5,Maintain Weight,2,1,1,1,2,0,1,2,1,0,0,0,0,0,0
171,70,23.94,Maintain Weight,1,1,2,2,1,0,1,2,2,0,0,0,0,0,0
164,57,21.19,Maintain Weight,1,1,2,2,2,0,1,1,2,0,0,0,0,0,0
177,81,25.85,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,1,2,1,1
180,90,27.78,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,2,2,2,1
165,61,22.41,Maintain Weight,1,1,1,2,1,0,2,2,2,0,0,0,0,0,0
173,74,24.73,Maintain Weight,1,1,1,1,1,0,2,2,1,0,0,0,0,0,0
168,66,23.38,Maintain Weight,1,2,1,2,2,0,1,2,1,0,0,0,0,0,0
175,76,24.82,Maintain Weight,3,1,3,1,1,0,3,2,2,0,0,0,0,0,0
160,54,21.09,Maintain Weight,1,2,1,1,1,0,1,1,2,0,0,0,0,0,0
182,92,27.77,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,1,1,2,1
156,47,19.31,Gain Weight,1,1,0,2,1,1,0,2,2,3,0,0,0,0,0
181,88,26.86,Lose Weight,0,0,0,2,2,0,0,2,0,0,1,1,1,1,2
168,69,24.45,Maintain Weight,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
173,76,25.39,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,1,1,2,1
170,73,25.26,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,1,1
163,57,21.45,Maintain Weight,1,2,1,1,1,0,1,2,1,0,0,0,0,0,0
177,80,25.54,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,1,1,2,2
159,51,20.17,Gain Weight,1,2,0,2,1,1,0,2,1,2,0,0,0,0,0
184,96,28.36,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,2,2,1,1
167,68,24.38,Maintain Weight,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0
172,77,26.03,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,2,2,2,2
165,63,23.14,Maintain Weight,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
178,84,26.51,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,1,2,1,2
180,90,27.78,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,2,2,1
173,73,24.39,Maintain Weight,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0
166,65,23.59,Maintain Weight,2,1,2,2,1,0,1,1,2,0,0,0,0,0,0
175,79,25.8,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,2,1,1,2
161,56,21.6,Maintain Weight,2,2,1,2,1,0,2,2,1,0,0,0,0,0,0
171,71,24.28,Maintain Weight,1,1,1,1,1,0,2,2,2,0,0,0,0,0,0
179,88,27.46,Lose Weight,0,0,0,2,2,0,0,2,0,0,1,2,1,1,2
168,67,23.74,Maintain Weight,1,1,2,1,1,0,2,1,1,0,0,0,0,0,0
176,82,26.47,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,1,1,2,2
167,62,22.23,Maintain Weight,1,1,1,2,1,0,2,2,2,0,0,0,0,0,0
182,95,28.68,Lose Weight,0,0,0,2,2,0,0,2,0,0,2,2,2,1,1
160,54,21.09,Maintain Weight,2,2,1,1,1,0,1,2,1,0,0,0,0,0,0
174,78,25.76,Lose Weight,0,0,0,1,1,0,0,1,0,0,1,2,1,1,2
169,70,24.51,Maintain Weight,1,2,1,1,2,0,1,1,2,0,0,0,0,0,0
178,83,26.2,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,1,1,2,2
164,60,22.31,Maintain Weight,1,1,1,2,1,0,1,2,2,0,0,0,0,0,0
173,75,25.06,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,2,2
170,73,25.26,Lose Weight,0,0,0,2,1,0,0,2,0,0,1,1,1,1,1
165,62,22.77,Maintain Weight,2,1,2,2,1,0,1,2,2,0,0,0,0,0,0
181,90,27.47,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,1,2,2,2
168,66,23.38,Maintain Weight,1,2,2,1,2,0,2,1,2,0,0,0,0,0,0
172,76,25.69,Lose Weight,0,0,0,2,2,0,0,2,0,0,1,1,2,1,2
160,55,21.48,Maintain Weight,1,1,1,1,2,0,2,1,1,0,0,0,0,0,0
177,81,25.85,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,1,1,1,2
159,50,19.78,Gain Weight,1,1,0,3,2,2,0,1,3,1,0,0,0,0,0
184,94,27.76,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,1,2,1,2
165,63,23.14,Maintain Weight,1,2,1,1,1,0,1,1,2,0,0,0,0,0,0
176,80,25.83,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,2,2,1,2
170,70,24.22,Maintain Weight,1,1,1,1,1,0,2,2,1,0,0,0,0,0,0
177,84,26.81,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,1,2,1,1
160,55,21.48,Maintain Weight,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0
173,73,24.39,Maintain Weight,1,2,1,1,2,0,1,1,1,0,0,0,0,0,0
171,70,23.94,Maintain Weight,1,1,1,2,2,0,1,2,1,0,0,0,0,0,0
166,62,22.5,Maintain Weight,1,1,2,1,1,0,2,1,2,0,0,0,0,0,0
175,78,25.47,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,2,2,2,1
181,91,27.78,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,1,2,1,1
167,67,24.02,Maintain Weight,1,1,1,2,2,0,1,1,1,0,0,0,0,0,0
174,76,25.1,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,2,1
178,85,26.83,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,1,1,2,2
165,62,22.77,Maintain Weight,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0
169,69,24.16,Maintain Weight,1,1,2,2,2,0,1,2,2,0,0,0,0,0,0
179,87,27.15,Lose Weight,0,0,0,1,1,0,0,1,0,0,2,1,1,1,1
172,73,24.68,Maintain Weight,1,2,2,2,2,0,1,1,2,0,0,0,0,0,0
168,65,23.03,Maintain Weight,2,1,2,1,2,0,1,1,1,0,0,0,0,0,0
173,72,24.06,Maintain Weight,1,2,1,1,2,0,1,1,1,0,0,0,0,0,0
175,78,25.47,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,1,2,1,1
161,56,21.6,Maintain Weight,2,2,1,1,2,0,1,1,1,0,0,0,0,0,0
180,89,27.47,Lose Weight,0,0,0,2,1,0,0,2,0,0,1,2,2,1,2
167,66,23.67,Maintain Weight,1,2,1,1,1,0,2,1,2,0,0,0,0,0,0
171,70,23.94,Maintain Weight,2,1,2,1,1,0,1,2,2,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,2,2,1,1
178,84,26.51,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,1,2,1,1
160,55,21.48,Maintain Weight,2,1,2,1,1,0,1,1,1,0,0,0,0,0,0
184,95,28.06,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,1,2,1,1
172,73,24.68,Maintain Weight,1,1,1,1,1,0,1,1,2,0,0,0,0,0,0
169,68,23.81,Maintain Weight,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0
174,77,25.43,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,2,2
176,82,26.47,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,1,2,1
171,71,24.28,Maintain Weight,1,2,2,1,1,0,2,1,1,0,0,0,0,0,0
168,66,23.38,Maintain Weight,2,1,1,2,1,0,1,1,2,0,0,0,0,0,0
163,60,22.58,Maintain Weight,1,1,1,1,2,0,1,2,1,0,0,0,0,0,0
179,85,26.53,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,1,2,2,1
174,76,25.1,Lose Weight,0,0,0,1,1,0,0,1,0,0,1,2,2,1,2
182,90,27.17,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,1,2,2,2
163,58,21.83,Maintain Weight,1,1,2,1,2,0,1,1,1,0,0,0,0,0,0
178,83,26.2,Lose Weight,0,0,0,1,2,0,0,1,0,0,2,1,1,1,2
173,74,24.73,Maintain Weight,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,2,1,1,2
170,70,24.22,Maintain Weight,1,1,2,1,2,0,1,1,1,0,0,0,0,0,0
171,71,24.28,Maintain Weight,2,2,1,1,2,0,1,2,1,0,0,0,0,0,0
166,62,22.5,Maintain Weight,1,1,1,1,1,0,1,2,2,0,0,0,0,0,0
172,72,24.34,Maintain Weight,2,1,1,1,1,0,1,2,1,0,0,0,0,0,0
168,67,23.74,Maintain Weight,1,1,1,2,1,0,1,2,2,0,0,0,0,0,0
179,88,27.46,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,2,2,2,2
174,76,25.1,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,1,1,2,2
165,63,23.14,Maintain Weight,2,1,2,1,2,0,1,1,1,0,0,0,0,0,0
170,71,24.57,Maintain Weight,1,1,2,1,1,0,2,2,2,0,0,0,0,0,0
175,79,25.8,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,2,2,1,1
182,91,27.47,Lose Weight,0,0,0,2,1,0,0,2,0,0,1,1,1,2,1
166,62,22.5,Maintain Weight,2,1,1,1,2,0,2,2,1,0,0,0,0,0,0
170,70,24.22,Maintain Weight,2,1,1,1,2,0,1,1,1,0,0,0,0,0,0
176,81,26.15,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,2,1,1,1
172,73,24.68,Maintain Weight,2,2,1,2,1,0,1,2,2,0,0,0,0,0,0
180,87,26.85,Lose Weight,0,0,0,2,2,0,0,2,0,0,1,2,1,2,2
167,66,23.67,Maintain Weight,1,2,2,1,1,0,2,2,1,0,0,0,0,0,0
174,75,24.77,Maintain Weight,1,1,2,1,3,0,1,3,2,0,0,0,0,0,0
173,74,24.73,Maintain Weight,2,1,2,1,1,0,2,2,2,0,0,0,0,0,0
168,65,23.03,Maintain Weight,1,2,2,1,1,0,1,1,1,0,0,0,0,0,0
175,79,25.8,Lose Weight,0,0,0,2,2,0,0,2,0,0,1,2,1,1,1
170,70,24.22,Maintain Weight,1,1,2,2,2,0,1,1,1,0,0,0,0,0,0
172,73,24.68,Maintain Weight,1,1,2,2,1,0,1,2,2,0,0,0,0,0,0
179,85,26.53,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,1,2,1,1
164,59,21.94,Maintain Weight,1,1,1,2,1,0,2,2,1,0,0,0,0,0,0
175,78,25.47,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,2,1,2,2
178,82,25.88,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,2,1,1,2
169,69,24.16,Maintain Weight,2,1,1,1,1,0,1,2,1,0,0,0,0,0,0
183,93,27.77,Lose Weight,0,0,0,2,2,0,0,1,0,0,2,2,1,1,2
171,71,24.28,Maintain Weight,2,1,1,2,1,0,1,1,1,0,0,0,0,0,0
166,63,22.86,Maintain Weight,1,1,1,2,1,0,1,1,1,0,0,0,0,0,0
170,70,24.22,Maintain Weight,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
177,80,25.54,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,2,1,2,2
174,76,25.1,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,1,1,1,1
168,65,23.03,Maintain Weight,2,2,1,1,2,0,1,1,1,0,0,0,0,0,0
173,74,24.73,Maintain Weight,1,1,1,2,1,0,2,2,1,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,1,2,2,1
172,73,24.68,Maintain Weight,1,2,1,2,1,0,1,1,1,0,0,0,0,0,0
178,81,25.56,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,1,2,1,2
166,62,22.5,Maintain Weight,2,1,2,1,2,0,1,1,2,0,0,0,0,0,0
171,71,24.28,Maintain Weight,1,1,1,2,1,0,2,1,1,0,0,0,0,0,0
169,69,24.16,Maintain Weight,1,2,1,2,2,0,2,1,2,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,2,1
183,92,27.47,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,1,1,2,1
167,66,23.67,Maintain Weight,2,1,1,2,1,0,1,1,1,0,0,0,0,0,0
174,75,24.77,Maintain Weight,2,1,1,1,1,0,2,1,1,0,0,0,0,0,0
172,73,24.68,Maintain Weight,1,1,2,2,2,0,1,1,1,0,0,0,0,0,0
168,67,23.74,Maintain Weight,2,1,1,1,1,0,2,2,2,0,0,0,0,0,0
175,78,25.47,Lose Weight,0,0,0,2,1,0,0,1,0,0,2,1,1,1,1
170,70,24.22,Maintain Weight,1,1,2,2,1,0,1,2,1,0,0,0,0,0,0
177,81,25.85,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,2,1,2,1
166,62,22.5,Maintain Weight,1,1,2,2,1,0,1,1,1,0,0,0,0,0,0
170,70,24.22,Maintain Weight,1,1,1,1,1,0,2,1,2,0,0,0,0,0,0
173,75,25.06,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,2,1,1,2
168,64,22.68,Maintain Weight,2,2,2,1,1,0,2,1,1,0,0,0,0,0,0
185,91,26.59,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,1,2,1,1
174,76,25.1,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,2,2,1,1
167,63,22.59,Maintain Weight,2,1,2,1,2,0,1,2,1,0,0,0,0,0,0
173,74,24.73,Maintain Weight,1,1,1,1,2,0,1,1,2,0,0,0,0,0,0
180,85,26.23,Lose Weight,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1
165,58,21.3,Maintain Weight,1,2,1,2,2,0,2,1,1,0,0,0,0,0,0
172,72,24.34,Maintain Weight,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0
178,81,25.56,Lose Weight,0,0,0,1,1,0,0,1,0,0,1,2,1,1,2
169,69,24.16,Maintain Weight,1,2,1,1,1,0,1,2,1,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,2,1,0,0,2,0,0,1,2,2,2,2
170,71,24.57,Maintain Weight,2,1,1,1,1,0,2,2,1,0,0,0,0,0,0
179,83,25.9,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,1,1,1
173,74,24.73,Maintain Weight,1,1,2,2,2,0,1,1,1,0,0,0,0,0,0
167,64,22.95,Maintain Weight,2,1,2,2,2,0,1,2,2,0,0,0,0,0,0
173,75,25.06,Lose Weight,0,0,0,2,2,0,0,2,0,0,1,1,2,1,1
175,77,25.14,Lose Weight,0,0,0,1,1,0,0,1,0,0,1,2,2,2,1
181,90,27.47,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,1,1,1,2
167,65,23.31,Maintain Weight,1,1,1,1,2,0,1,2,1,0,0,0,0,0,0
172,73,24.68,Maintain Weight,1,2,1,1,1,0,1,1,2,0,0,0,0,0,0
169,68,23.81,Maintain Weight,1,1,1,1,1,0,1,2,1,0,0,0,0,0,0
178,81,25.56,Lose Weight,0,0,0,2,2,0,0,2,0,0,2,2,2,1,1
175,77,25.14,Lose Weight,0,0,0,1,1,0,0,1,0,0,2,1,1,2,2
172,73,24.68,Maintain Weight,1,1,2,2,1,0,2,1,1,0,0,0,0,0,0
183,93,27.77,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,1,2
170,70,24.22,Maintain Weight,1,2,1,1,2,0,1,1,2,0,0,0,0,0,0
174,76,25.1,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,2,1,1
171,71,24.28,Maintain Weight,1,2,2,2,1,0,1,1,1,0,0,0,0,0,0
165,59,21.67,Maintain Weight,1,2,1,1,1,0,2,2,1,0,0,0,0,0,0
176,79,25.5,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,2,2,1,2
178,81,25.56,Lose Weight,0,0,0,1,1,0,0,1,0,0,2,1,2,1,2
171,70,23.94,Maintain Weight,2,1,2,1,2,0,1,2,2,0,0,0,0,0,0
175,76,24.82,Maintain Weight,2,1,1,2,1,0,2,1,1,0,0,0,0,0,0
172,71,24,Maintain Weight,1,1,2,1,1,0,2,2,1,0,0,0,0,0,0
164,60,22.31,Maintain Weight,1,1,1,2,2,0,2,1,2,0,0,0,0,0,0
178,83,26.2,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,1,2,2,2
180,87,26.85,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,1,2,1
167,63,22.59,Maintain Weight,1,1,1,1,1,0,1,2,2,0,0,0,0,0,0
169,69,24.16,Maintain Weight,2,2,1,1,1,0,2,1,1,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,2,1,2,1
174,75,24.77,Maintain Weight,1,1,2,3,1,0,2,1,1,0,0,0,0,0,0
180,88,27.16,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,2,1,1
165,58,21.3,Maintain Weight,2,1,2,1,2,0,2,2,2,0,0,0,0,0,0
171,73,24.96,Maintain Weight,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0
168,64,22.68,Maintain Weight,1,1,1,2,1,0,2,2,2,0,0,0,0,0,0
179,82,25.59,Lose Weight,0,0,0,1,2,0,0,2,0,0,2,1,2,2,2
172,72,24.34,Maintain Weight,1,1,1,2,1,0,2,1,2,0,0,0,0,0,0
176,78,25.18,Lose Weight,0,0,0,1,1,0,0,1,0,0,2,1,2,2,1
173,75,25.06,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,1,2,2,2
180,87,26.85,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,1,2,2,1
165,59,21.67,Maintain Weight,2,2,1,1,2,0,1,2,1,0,0,0,0,0,0
177,80,25.54,Lose Weight,0,0,0,2,2,0,0,2,0,0,2,1,2,1,1
170,70,24.22,Maintain Weight,2,2,1,1,1,0,1,2,1,0,0,0,0,0,0
